X,Y,OBJECTID,NAME,ALT_NAME,LABEL,ADDRESS,XCOORD,YCOORD,LONGITUDE,LATITUDE,MAR_ID,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.0516878730769,38.9599249441213,1,ROCK CREEK PARK NATURE CENTER AND PLANETARIUM,,Rock Creek Park Nature Center and Planetarium,5200 GLOVER ROAD NW,395520.36,143557.89,-77.05168557,38.95991748,308551,MuseumPt_1,{B54753A4-D08B-48C2-910A-909E869EEC8D},,,,
-77.0526196505072,38.9436417119432,2,HILLWOOD MUSEUM,"HILLWOOD ESTATE, MUSEUM AND GARDENS",Hillwood Museum,4155 LINNEAN AVENUE NW,395438.56,141750.35,-77.05261735,38.94363425,284839,MuseumPt_2,{1DEC08B3-5911-473F-9BE6-92AC141BB6CE},,,,
-77.0117706927122,38.9417078032943,3,LINCOLN'S COTTAGE,ARMED FORCES RETIREMENT HOME BUILDING 12,Lincoln's Cottage,LINCOLN''S COTTAGE,398979.76,141534.42,-77.0117684,38.94170034,292871,MuseumPt_3,{44FD074D-7AC4-4953-A15F-EBA267A9A1A4},,,,
-77.0868530629623,38.9390996651148,4,AMERICAN UNIVERSITY MUSEUM AT THE KATZEN ARTS CENTER,AMERICAN UNIVERSITY MUSEUM,American University Museum at the Katzen Arts Center, 3500 NEBRASKA AVENUE NW,392470.36,141248.41,-77.086851,38.939092,223996,MuseumPt_4,{14F57F1A-D67C-4D1F-A4DD-01D7BFF5E4B4},,,,
-77.004667103511,38.9377665436672,5,THE SAINT JOHN PAUL II NATIONAL SHRINE,,The Saint John Paul II National Shrine,3900 HAREWOOD ROAD NE,399595.57,141096.85,-77.00466482,38.93775908,288031,MuseumPt_5,{6EEBABB9-F216-4D30-A1DF-4555F92F1ED8},,,,
-77.0243323058345,38.9348319021353,6,"THE HISTORY OF CANNABIS MUSEUM
",The Cannabis Museum,The History of Cannabis  ,"3626 GEORGIA AVENUE NW
",397890.55,140771.35,-77.02433,38.934824,232148,MuseumPt_6,{DBE8EA9E-4ED8-4763-954B-302CC9964D95},,,,
-76.9950085085725,38.9328407911034,7,AMERICAN POETRY MUSEUM,,American Poetry Museum,716 MONROE STREET NE,400432.98,140550.05,-76.99500622,38.93283333,309744,MuseumPt_7,{3A4A66F1-9953-411A-988D-D0D9FF84B61A},,,,
-77.0355065968507,38.9324381472643,8,POWHATAN MUSEUM,,Powhatan Museum,1519 MONROE STREET NW,396921.62,140505.94,-77.0355043,38.93243069,234557,MuseumPt_8,{31E8F838-470B-4244-B80D-358C7B774851},,,,
-77.0544308928758,38.9306186641442,9,NATIONAL ZOOLOGICAL PARK,NATIONAL ZOO,National Zoo,3001 CONNECTICUT AVENUE NW,395280.68,140304.77,-77.05442859,38.93061121,293230,MuseumPt_9,{435270DF-CEC8-43F6-AA84-7EB42C9C0286},,,,
-77.0360366534419,38.925552300777,10,MEXICAN CULTURAL INSTITUTE,,Mexican Cultural Institute,2829 16TH STREET NW,396875.36,139741.57,-77.03603436,38.92554484,235878,MuseumPt_10,{2CED5530-BC0E-411A-9618-FBA1DEE00CCC},,,,
-77.0209836697892,38.9245365018092,11,HOWARD UNIVERSITY GALLERY OF ART,,Howard University Gallery of Art,2455 6TH STREET NW,398180.62,139628.4,-77.02098138,38.92452904,188381,MuseumPt_11,{0D8BCF49-FE36-43F3-BB76-87228497029F},,,,
-77.0196991929266,38.9223602247499,12,HOWARD UNIVERSITY MUSEUM,,Howard University Museum,500 HOWARD PLACE NW,398291.95,139386.79,-77.0196969,38.92235277,243398,MuseumPt_12,{42470A9E-C818-4F2C-A705-046B5215F9B9},,,,
-77.0887809936663,38.9219119749913,13,KREEGER MUSEUM,,Kreeger Museum,2401 FOXHALL ROAD NW,392301.36,139340.59,-77.08877868,38.92190452,271251,MuseumPt_13,{D428550D-1CBF-4AA7-91D6-74DEB43EACFF},,,,
-77.0381846958374,38.9202267085704,14,MERIDIAN INTERNATIONAL CENTER,MERIDIAN HOUSE INTERNATIONAL,Meridian International Center,1630 CRESCENT PLACE NW,396688.85,139150.46,-77.0381824,38.92021925,235803,MuseumPt_14,{D2976FCB-4AF9-42C9-8083-04D0FD21F387},,,,
-77.0253661260672,38.9164435426071,15,AFRICAN AMERICAN CIVIL WAR MEMORIAL MUSEUM,,African American Civil War Memorial Museum,1925 VERMONT AVENUE NW,397800.35,138730.11,-77.02536383,38.91643609,310615,MuseumPt_15,{EC138796-B38C-4D3E-9BF7-C75D3B921A6F},,,,
