station_name,station_id,station_lat,station_lon,station_region_id,distance_center,nearest_museum_dist,nearest_museum_name
Eads St & 15th St S,31000,38.858971,-77.05323,41,4733.7528933471895,3555.4822757909187,UNITED STATES HOLOCAUST MEMORIAL MUSEUM
Crystal Dr & 20th St S,31002,38.856425,-77.049232,41,4964.070669428413,3652.888659822035,UNITED STATES HOLOCAUST MEMORIAL MUSEUM
Crystal Dr & 15th St S,31003,38.861056,-77.049417,41,4454.943072641146,3193.831263875724,UNITED STATES HOLOCAUST MEMORIAL MUSEUM
Aurora Hills Cmty Ctr / 18th St & S Hayes St,31004,38.857866,-77.05949,41,4979.620371813799,3955.1797091318485,UNITED STATES HOLOCAUST MEMORIAL MUSEUM
Pentagon City Metro / 12th St & S Hayes St,31005,38.862303,-77.059936,41,4521.399546401745,3593.8806981349353,UNITED STATES HOLOCAUST MEMORIAL MUSEUM
Army Navy Dr & S Joyce St,31006,38.86331354301248,-77.06341624259947,41,4522.970479310304,3720.3247948428716,UNITED STATES HOLOCAUST MEMORIAL MUSEUM
Crystal City Metro / 18th St & S Bell St,31007,38.85778509815245,-77.05169767141342,41,4841.474617518383,3607.2610872162713,UNITED STATES HOLOCAUST MEMORIAL MUSEUM
Crystal Dr & 27th St S,31009,38.848466,-77.051514,41,5864.3416998794855,4546.196601958978,UNITED STATES HOLOCAUST MEMORIAL MUSEUM
S Glebe Rd & Potomac Ave,31010,38.8426,-77.0502,41,6499.7016054858295,5124.232976901313,UNITED STATES HOLOCAUST MEMORIAL MUSEUM
Crystal Dr & 23rd St S,31011,38.852929,-77.049723,41,5354.498792089588,4028.1067486316333,UNITED STATES HOLOCAUST MEMORIAL MUSEUM
Clark St & 26th St S,31012,38.850688,-77.05152,41,5619.645257569442,4317.108582031885,UNITED STATES HOLOCAUST MEMORIAL MUSEUM
19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,42,75.10436582199475,307.2978422344581,LUTHER W. BRADY ART GALLERY
14th & V St NW,31101,38.9177645,-77.032096,42,2109.38268253494,555.9017925539055,HOUSE OF THE TEMPLE
11th & Kenyon St NW,31102,38.929464,-77.027822,42,3443.4410226604887,667.6440183977965,"THE HISTORY OF CANNABIS MUSEUM
"
15th & Harvard St NW,31103,38.92612422246211,-77.03542068600655,42,2882.4205098828193,83.48014880391476,MEXICAN CULTURAL INSTITUTE
Adams Mill & Columbia Rd NW,31104,38.922925,-77.042581,42,2445.8740962263937,485.52431061687093,MERIDIAN INTERNATIONAL CENTER
14th & Harvard St NW,31105,38.9268,-77.0322,42,3032.1505241595814,360.5178878569589,MEXICAN CULTURAL INSTITUTE
Calvert & Biltmore St NW,31106,38.923203,-77.047637,42,2504.3526134194717,884.300324893327,MERIDIAN INTERNATIONAL CENTER
Lamont & Mt Pleasant NW,31107,38.9319,-77.0388,42,3463.489563321567,291.7767569002092,POWHATAN MUSEUM
4th & M St SW,31108,38.876697,-77.0178975,42,3475.1503014054265,905.38315862478,MUSEUM OF THE BIBLE
15th & P St NW,31201,38.90980062655191,-77.03442692756653,42,1252.4811877525933,162.04781593216097,U.S. DAUGHTERS OF 1812 LIBRARY AND MUSEUM
14th & R St NW,31202,38.913046,-77.032008,42,1666.571307555332,338.8823221264053,HOUSE OF THE TEMPLE
14th & Rhode Island Ave NW,31203,38.9086,-77.0323,42,1281.0644226313107,133.50815476806284,MARY BETHUNE COUNCIL HOUSE
20th & E St NW,31204,38.8963,-77.045,42,531.5306500409322,292.79877097406444,INTERIOR MUSEUM
21st & I St NW,31205,38.90071062547463,-77.04644858837128,42,273.9392023399258,100.14242479352036,LUTHER W. BRADY ART GALLERY
Georgia & New Hampshire Ave NW,31400,38.9366839345886,-77.02418088912964,42,4304.673120255065,206.88361740343802,"THE HISTORY OF CANNABIS MUSEUM
"
14th St & Spring Rd NW,31401,38.9375,-77.0328,42,4163.901593292475,609.6598167223402,POWHATAN MUSEUM
John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955,42,5584.064502616987,200.74428422665463,AMERICAN POETRY MUSEUM
5th & K St NW,31600,38.90304,-77.019027,42,2118.9409313569427,342.8241909905827,HISTORICAL SOCIETY OF WASHINGTON DC
19th & East Capitol St SE,31601,38.8896,-76.9769,42,5895.473067543549,2347.657604903474,SEWALL-BELMONT HOUSE AND MUSEUM
Park Rd & Holmead Pl NW,31602,38.9308,-77.0315,42,3473.499874308906,391.57089119987086,POWHATAN MUSEUM
Good Hope & Naylor Rd SE,31700,38.861663,-76.969184,42,7767.398902007295,868.3216779202274,ANACOSTIA COMMUNITY MUSEUM
Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979,42,3916.8603029855817,509.3941286099067,NATIONAL ZOOLOGICAL PARK
Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607,42,7604.011185355246,2673.1565392627194,FREDERICK DOUGLASS NATIONAL HISTORIC SITE
Minnesota Ave Metro/DOES,31703,38.897063,-76.947446,42,8326.184039707647,2586.5850170792537,THE NATIONAL BONSAI AND PENJING MUSEUM
Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,42,8798.286763760463,2720.3712508231656,THE NATIONAL BONSAI AND PENJING MUSEUM
Anacostia Metro,31801,38.862669,-76.994637,42,5986.847099287035,247.3041312052825,AMERICA'S ISLAMIC HERITAGE MUSEUM
Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,42,6069.886591010946,507.9249408777932,FREDERICK DOUGLASS NATIONAL HISTORIC SITE
19th & E Street NW,31206,38.8952,-77.0436,42,633.3121198932469,120.58272813455025,INTERIOR MUSEUM
4th & W St NE,31500,38.919077,-77.000648,42,4214.019245541884,1557.6613788271818,GALLAUDET UNIVERSITY MUSEUM
10th & U St NW,31111,38.9172,-77.0259,42,2356.2987965660036,96.71685408180407,AFRICAN AMERICAN CIVIL WAR MEMORIAL MUSEUM
