date,temp(F),dew_point(F),humidity(%),wind_direction,wind_speed(mph),wind_gust(mph),pressure(in),precipitation(in),condition
2021-01-01 00:00:00,41,28,60,NNE,13,0,30.44,0.0,Cloudy
2021-01-01 01:00:00,39,28,65,NNE,10,0,30.46,0.0,Cloudy
2021-01-01 02:00:00,39,27,62,NNE,9,0,30.46,0.0,Cloudy
2021-01-01 03:00:00,38,26,62,NNE,8,0,30.47,0.0,Cloudy
2021-01-01 04:00:00,38,26,62,NE,9,0,30.48,0.0,Cloudy
2021-01-01 05:00:00,37,26,65,NNE,8,0,30.49,0.0,Cloudy
2021-01-01 06:00:00,37,25,62,NE,10,0,30.49,0.0,Cloudy
2021-01-01 07:00:00,37,25,62,NNE,6,0,30.5,0.0,Cloudy
2021-01-01 08:00:00,37,25,62,NE,7,0,30.51,0.0,Cloudy
2021-01-01 09:00:00,37,26,65,NE,10,0,30.48,0.0,Cloudy
2021-01-01 10:00:00,38,28,68,NE,6,0,30.47,0.0,Light Rain
2021-01-01 11:00:00,36,30,81,NNE,6,0,30.43,0.0,Rain
2021-01-01 12:00:00,37,32,82,NE,8,0,30.38,0.0,Light Rain
2021-01-01 13:00:00,37,34,87,NE,8,0,30.33,0.0,Light Rain
2021-01-01 14:00:00,37,33,86,NNE,6,0,30.32,0.0,Light Rain
2021-01-01 15:00:00,38,33,83,NNE,8,0,30.3,0.0,Light Rain
2021-01-01 16:00:00,37,34,89,N,12,0,30.28,0.0,Rain
2021-01-01 17:00:00,37,35,93,N,5,0,30.21,0.2,Light Rain
2021-01-01 18:00:00,37,35,93,NW,3,0,30.2,0.1,Light Rain
2021-01-01 19:00:00,38,36,93,N,5,0,30.18,0.1,Rain
2021-01-01 20:00:00,38,35,89,NNW,9,0,30.16,0.1,Rain
2021-01-01 21:00:00,37,35,93,NNW,6,0,30.12,0.0,Light Rain
2021-01-01 22:00:00,38,36,93,WNW,7,0,30.0,0.0,Light Rain
2021-01-01 23:00:00,38,35,89,NW,9,0,29.99,0.0,Cloudy
2021-01-02 00:00:00,38,35,89,NNW,3,0,29.96,0.0,Cloudy
2021-01-02 01:00:00,37,36,96,CALM,0,0,29.94,0.0,Fog
2021-01-02 02:00:00,38,37,97,S,7,0,29.89,0.0,Cloudy
2021-01-02 03:00:00,38,37,97,WSW,5,0,29.85,0.0,Cloudy
2021-01-02 04:00:00,39,38,96,SSW,10,0,29.82,0.0,Cloudy
2021-01-02 05:00:00,40,39,97,WSW,5,0,29.86,0.0,Cloudy
2021-01-02 06:00:00,41,39,93,NW,6,0,29.9,0.0,Cloudy
2021-01-02 07:00:00,40,39,97,SSW,6,0,29.91,0.0,Mostly Cloudy
2021-01-02 08:00:00,41,39,93,SSW,6,0,29.92,0.0,Mostly Cloudy
2021-01-02 09:00:00,44,41,89,CALM,0,0,29.94,0.0,Mostly Cloudy
2021-01-02 10:00:00,45,41,87,SE,5,0,29.96,0.0,Mostly Cloudy
2021-01-02 11:00:00,47,43,86,SSE,7,0,29.96,0.0,Mostly Cloudy
2021-01-02 12:00:00,54,44,69,E,5,0,29.96,0.0,Mostly Cloudy
2021-01-02 13:00:00,57,42,57,NW,13,26,29.98,0.0,Mostly Cloudy
2021-01-02 14:00:00,56,41,57,NNW,14,0,30.01,0.0,Mostly Cloudy
2021-01-02 15:00:00,54,39,57,NNW,13,23,30.02,0.0,Mostly Cloudy
2021-01-02 16:00:00,52,39,61,NW,12,0,30.05,0.0,Mostly Cloudy
2021-01-02 17:00:00,50,39,66,NNW,7,0,30.06,0.0,Cloudy
